#,NODE,TYPE,TECHNIQUE,ID TEST,DESCRIPTION,FILE PATH,FILE CONTENT,EXPECTED RESULT,OBSERVATIONS,
45,35,NT,DELETION,test_revoke_key_no_v2,NO VALUE 2,tests_revoke_key/no_v2.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":"""",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
46,35,NT,DUPLICATION,test_revoke_key_duplicate_v2,DUPLICATE VALUE 2 ,tests_revoke_key/duplicate_v2.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""TemporalTemporal"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
47,35,NT,VALID,test_revoke_key_ok_temporal,TEMPORAL VALUE 2,tests_revoke_key/ok_temporal.json,"{""Key"":""657244bdf89f067462e6a7f12b44749340f61030619f93bee391fbaf93361627"",""Revocation"":""Temporal"",""Reason"":""lol. lmao.""}"," ""[""mail1@uc3m.es"",""mail2@uc3m.es""]""",,
48,38,NT,DELETION,test_revoke_key_no_value_l3,NO VALUE FOR LABEL 3,tests_revoke_key/no_value_l3.json,"{""Key"":""de000a04f3a9b1d15b07e38b166f00f3fb1bf46533f32ac37156faf43e47f722"",""Revocation"":""Final"","""":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
49,38,NT,DUPLICATION,test_revoke_key_double_value_l3,DUPLICATED VALUE FOR LABEL 3,tests_revoke_key/double_value_l3.json,"{""Key"":""de000a04f3a9b1d15b07e38b166f00f3fb1bf46533f32ac37156faf43e47f722"",""Revocation"":""Final"",""ReasonReason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
50,42,NT,DELETION,test_revoke_key_no_v3,NO VALUE 3,tests_revoke_key/ok_no_v3.json,"{""Key"":""de000a04f3a9b1d15b07e38b166f00f3fb1bf46533f32ac37156faf43e47f722"",""Revocation"":""Final"",""Reason"":""""}"," ""[""mail1@uc3m.es"",""mail2@uc3m.es""]""",Covers BV - 0,
51,42,NT,BV - 1,test_revoke_key_value3_bv_1,VALUE 3 OF LEN 1,tests_revoke_key/ok_value3_bv_1.json,"{""Key"":""de000a04f3a9b1d15b07e38b166f00f3fb1bf46533f32ac37156faf43e47f722"",""Revocation"":""Final"",""Reason"":""l""}"," ""[""mail1@uc3m.es"",""mail2@uc3m.es""]""",,
52,42,NT,BV - 2,test_revoke_key_value3_bv_2,VALUE 3 OF LEN 100,tests_revoke_key/ok_value3_bv_2.json,"{""Key"":""de000a04f3a9b1d15b07e38b166f00f3fb1bf46533f32ac37156faf43e47f722"",""Revocation"":""Final"",""Reason"":""lol. lmao.lol. lmao.lol. lmao.lol. lmao.lol. lmao.lol. lmao.lol. lmao.lol. lmao.lol. lmao.lol. lmao.""}"," ""[""mail1@uc3m.es"",""mail2@uc3m.es""]""",,
53,42,NT,BV - 3,test_revoke_key_value3_bv_3,VALUE 3 OF LEN 101,tests_revoke_key/value3_bv_3.json,"{""Key"": ""de000a04f3a9b1d15b07e38b166f00f3fb1bf46533f32ac37156faf43e47f722"",""Revocation"":""Final"",""Reason"":""lol. lmao.lol. lmao.lol. lmao.lol. lmao.lol. lmao.lol. lmao.lol. lmao.lol. lmao.lol. lmao.lol. lmao..""}",AccessManagerException: Incorrect JSON Syntax,,
54,45,T,MODIFICATION,test_revoke_key_l1_value_modification,LABEL 1 VALUE MODIFICATION,tests_revoke_key/l1_value_modification.json,"{""#"":""de000a04f3a9b1d15b07e38b166f00f3fb1bf46533f32ac37156faf43e47f722"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
55,48,T,MODIFICATION,test_revoke_key_f1_value_modification,FIELD 1 VALUE MODIFICATION,tests_revoke_key/access_f1_value_modification.json,"{""Key"":""################################################################"",""Revocation"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
56,51,T,MODIFICATION,test_revoke_key_l2_value_modification,LABEL 2 VALUE MODIFICATION,tests_revoke_key/l2_value_modification.json,"{""Key"":""de000a04f3a9b1d15b07e38b166f00f3fb1bf46533f32ac37156faf43e47f722"",""#"":""Final"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
57,54,T,MODIFICATION,test_revoke_key_f2_value_modification,FIELD 2 VALUE MODIFICATION,tests_revoke_key/access_f2_value_modification.json,"{""Key"":""de000a04f3a9b1d15b07e38b166f00f3fb1bf46533f32ac37156faf43e47f722"",""Revocation"":""#"",""Reason"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
58,57,T,MODIFICATION,test_revoke_key_l3_value_modification,LABEL 3 VALUE MODIFICATION,tests_revoke_key/l3_value_modification.json,"{""Key"":""de000a04f3a9b1d15b07e38b166f00f3fb1bf46533f32ac37156faf43e47f722"",""Revocation"":""Final"",""#"":""lol. lmao.""}",AccessManagerException: Incorrect JSON Syntax,,
59,60,T,MODIFICATION,test_revoke_key_f3_value_modification,FIELD 3 VALUE MODIFICATION,tests_revoke_key/access_f3_value_modification.json,"{""Key"":""de000a04f3a9b1d15b07e38b166f00f3fb1bf46533f32ac37156faf43e47f722"",""Revocation"":""Final"",""Reason"":""#""}",AccessManagerException: Incorrect JSON Syntax,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,, 
